field,value,origin
calibration.black_level,,bridge_assumed
calibration.calibration_residual_var,,bridge_assumed
calibration.cfa_pattern,,bridge_assumed
calibration.color_matrix,,bridge_assumed
calibration.color_shading_gain,,bridge_assumed
calibration.companding_gamma,,bridge_assumed
calibration.dark_current_coeff,,bridge_assumed
calibration.defect_pixels,,bridge_assumed
calibration.distortion_coeffs,,bridge_assumed
calibration.dsnu_offset,,bridge_assumed
calibration.extrinsic_matrix,,source_dataset
calibration.fpn_offset,,bridge_assumed
calibration.intrinsic_matrix,,source_dataset
calibration.lens_shading_gain,,bridge_assumed
calibration.mtf_confidence_map,,bridge_assumed
calibration.perception_color_matrix,,bridge_assumed
calibration.prnu_gain,,bridge_assumed
calibration.psf_sigma_map,,bridge_assumed
calibration.quantization_var,,bridge_assumed
calibration.read_noise_var,,bridge_assumed
calibration.rgb_ir_crosstalk,,bridge_assumed
calibration.shot_noise_coeff,,bridge_assumed
calibration.white_level,,bridge_assumed
sensor.analog_gains,,simulator_readback
sensor.calibration_id,1d31c729b073425e8e0202c5c6e66ee1,source_dataset
sensor.camera_id,CAM_FRONT,source_dataset
sensor.cfa_pattern,GRBG,simulator_readback
sensor.color_profile_id,,bridge_assumed
sensor.digital_gains,,bridge_assumed
sensor.exposure_times_us,"[8000.0,2000.0,32000.0]",simulator_readback
sensor.frame_counter,1,source_dataset
sensor.hdr_mode,inter_frame_experimental,bridge_assumed
sensor.hdr_ratios,"[0.25,0.0625,1.0]",bridge_assumed
sensor.isp_profile_id,,bridge_assumed
sensor.lens_profile_id,,bridge_assumed
sensor.line_time_us,,simulator_configured
sensor.module_serial,,bridge_assumed
sensor.noise_model_id,,bridge_assumed
sensor.readout_direction,,bridge_assumed
sensor.rolling_shutter_time_us,,bridge_assumed
sensor.sensor_id,725903f5b62f56118f4094b46a4470d8,source_dataset
sensor.temperature_c,,bridge_assumed
sensor.timestamp_us,1532402927662460.0,source_dataset
source.analog_gains,,unknown
source.black_level,,unknown
source.calibrated_sensor_token,,source_dataset
source.camera_channel,,source_dataset
source.camera_intrinsic,,source_dataset
source.camerae2e_ae_config,,simulator_configured
source.camerae2e_target_mean_luminance,,simulator_configured
source.cfa_pattern,,unknown
source.color_profile_id,,unknown
source.dataset,,source_dataset
source.deghosting_applied,false,bridge_assumed
source.digital_gains,,unknown
source.effective_analog_gain,,simulator_readback
source.ego_pose_token,"[""e3d495d4ac534d54b321f50006683844"",""68e8e98cf7b0487baa139df808641db7"",""512015c209c1490f906982c3b182c2a8""]",source_dataset
source.ego_pose_warp_applied,false,bridge_assumed
source.ego_to_global_matrix,,source_dataset
source.exposure_times_us,,unknown
source.fileformat,,source_dataset
source.filename,"[""samples/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402927612460.jpg"",""sweeps/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402927662460.jpg"",""sweeps/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402927762460.jpg""]",source_dataset
source.geometric_registration_applied,false,bridge_assumed
source.hdr_metadata_derivation,,bridge_assumed
source.hdr_mode,,unknown
source.hdr_ratios,,unknown
source.inter_frame_ego_pose_tokens,,source_dataset
source.inter_frame_exposure_schedule_us,"[8000.0,2000.0,32000.0]",simulator_readback
source.inter_frame_sample_data_tokens,"[""e3d495d4ac534d54b321f50006683844"",""68e8e98cf7b0487baa139df808641db7"",""512015c209c1490f906982c3b182c2a8""]",source_dataset
source.inter_frame_sensor_noise_seed_schedule,"[1000,1001,1002]",simulator_configured
source.inter_frame_sensor_to_global_matrices,,source_dataset
source.inter_frame_timestamps_us,"[1532402927612460.0,1532402927662460.0,1532402927762460.0]",source_dataset
source.is_key_frame,,source_dataset
source.isp_profile_id,,unknown
source.lens_profile_id,,unknown
source.line_time_us,,unknown
source.next_sample_data_token,"[""68e8e98cf7b0487baa139df808641db7"",""512015c209c1490f906982c3b182c2a8"",""e9df123af5b747adbd9ddf6454e1abdc""]",source_dataset
source.noise_model_id,,unknown
source.optical_flow_applied,false,bridge_assumed
source.prev_sample_data_token,"["""",""e3d495d4ac534d54b321f50006683844"",""68e8e98cf7b0487baa139df808641db7""]",source_dataset
source.pseudo_raw_code_mapping,linear_sensor_voltage_swing_to_64_4095,bridge_assumed
source.readout_direction,,unknown
source.reference_plane_index,1,bridge_assumed
source.reference_sample_data_token,68e8e98cf7b0487baa139df808641db7,source_dataset
source.reference_timestamp_us,1532402927662460.0,source_dataset
source.requested_sensor_noise_seed,,simulator_configured
source.rolling_shutter_time_us,,unknown
source.sample_data_token,"[""e3d495d4ac534d54b321f50006683844"",""68e8e98cf7b0487baa139df808641db7"",""512015c209c1490f906982c3b182c2a8""]",source_dataset
source.sample_timestamp_us,,source_dataset
source.sample_token,"[""ca9a282c9e77460f8360f564131a8af5"",""39586f9d59004284a7114a68825e8eec"",""39586f9d59004284a7114a68825e8eec""]",source_dataset
source.scene_name,,source_dataset
source.scene_reference_white_luminance,,simulator_configured
source.scene_token,,source_dataset
source.sensor_analog_gain_divisor,,simulator_readback
source.sensor_cfa_pattern,GRBG,simulator_readback
source.sensor_integration_times_us,,simulator_readback
source.sensor_modality,,source_dataset
source.sensor_noise_seed,,simulator_readback
source.sensor_noise_seed_policy,base_plus_plane_index,bridge_assumed
source.sensor_noise_seeds,"[1000,1001,1002]",simulator_readback
source.sensor_to_ego_matrix,,source_dataset
source.sensor_to_global_matrix,"[[[-0.9401652123589342,-0.015582548073058929,-0.3403623916733914,410.87244105365085],[0.3399968349298875,0.022094631607521356,-0.9401669955341909,1179.5708116715803],[0.02217037906169336,-0.9996344389073832,-0.015474586992295015,1.4936775157046185],[0.0,0.0,0.0,1.0]],[[-0.9402571710430225,-0.01494311642038995,-0.3401369659031779,410.70977105698245],[0.3397536310584521,0.02336811486507703,-0.9402241229569951,1179.137526706944],[0.02199823821968963,-0.9996152432207601,-0.016895059512489194,1.4912453285726384],[0.0,0.0,0.0,1.0]],[[-0.9410879902653345,-0.01588826042595557,-0.33778833277511344,410.40065095332744],[0.3373179817909099,0.026415805046409342,-0.9410200765149797,1178.2754978561568],[0.023874122787261646,-0.9995247712910307,-0.019500200941314667,1.486689580604785],[0.0,0.0,0.0,1.0]]]",source_dataset
source.sensor_token,,source_dataset
source.sensor_voltage_swing_v,1.0,simulator_readback
source.sensor_volts,,simulator_readback
source.source_analog_gain,,unknown
source.source_black_level,,unknown
source.source_cfa_pattern,,unknown
source.source_exposure_time_us,,unknown
source.source_height,"[900,900,900]",source_dataset
source.source_white_balance,,unknown
source.source_white_level,,unknown
source.source_width,"[1600,1600,1600]",source_dataset
source.static_comparator_sensor_noise_seed,1006,simulator_configured
source.temperature_c,,unknown
source.timestamp_us,,source_dataset
source.version,,source_dataset
source.white_balance_gains,,unknown
source.white_level,,unknown
